Name,Title,Total Episodes,Rating (0-10),Genres,Tags,Status,Source,Start Date,End Date,Duration (mins),Studio,Popularity,Description,ImageURL,Link,Note,My rating,Finished?,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Re Zero,Re:ZERO -Starting Life in Another World-,85,8.4,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller","Isekai, Time Manipulation, Male Protagonist, Time Loop, Tragedy, Magic, Alternate Universe, Cult, Witch, Curses, Ensemble Cast, Royal Affairs",Releasing,Light Novel,2016-04-04,2025-03-26,25,WHITE FOX,608458,"In the story, Subaru Natsuki is an ordinary high school student who is lost in an alternate world, where he is rescued by a beautiful, silver-haired girl. He stays near her to return the favor, but the destiny she is burdened with is more than Subaru can imagine. Enemies attack one by one, and both of them are killed. He then finds out he has the power to rewind death, back to the time he first came to this world. But only he remembers what has happened since. (Source: Anime News Network) Notes: - The first episode aired with a runtime of ~50 minutes as opposed to the standard 25 minute long episode. - In the Winter 2020 season, Re:ZERO was rebroadcast and re-edited to fit into an hour time-slot. This edit included the first OVA and added slight modifications to certain scenes throughout. It also added an additional scene at the end of the final episode.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21355-wRVUrGxpvIQQ.jpg,https://anilist.co/anime/21355,Combined 5 TV seasons,9.7,Yes,,,,,,,
Hells paradise [anilist:128893],Hell’s Paradise,25,8.1,"Action, Adventure, Mystery, Supernatural","Survival, Body Horror, Swordplay, Gore, Shounen, Ninja, Samurai, Ensemble Cast, Cultivation, Male Protagonist, Battle Royale, Religion",Finished,Manga,2023-04-01,2026-03-29,24,MAPPA,352405,"The Edo period is nearing its end. Gabimaru, a shinobi formerly known as the strongest in Iwagakure who is now a death row convict, is told that he will be acquitted and set free if he can bring back the Elixir of Life from an island that is rumored to be the Buddhist pure land Sukhavati. In hopes of reuniting with his beloved wife, Gabimaru heads to the island along with the executioner Yamada Asaemon Sagiri. Upon arriving there, they encounter other death row convicts in search of the Elixir of Life... as well as a host of unknown creatures, eerie manmade statues, and the hermits who rule the island. Can Gabimaru find the Elixir of Life on this mysterious island and make it back home alive? (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx128893-Gc2t8b8M0mVu.jpg,https://anilist.co/anime/128893,Forced AniList ID 128893; combined 2 TV seasons,9.6,Yes,,,,,,,
Gachiakuta,Gachiakuta ,24,8.2,"Action, Drama, Fantasy","Super Power, Urban Fantasy, Shounen, Dystopian, Survival, Revenge, Post-Apocalyptic, Male Protagonist, Ensemble Cast, Class Struggle, Female Harem, Found Family",Releasing,Manga,2025-07-06,2025-12-21,24,bones film,244438,"A boy lives in a floating town, where the poor scrape by and the rich live a sumptuous life, simply casting their garbage off the side, into the abyss. When he’s falsely accused of murder, though, his wrongful conviction leads to an unimaginable punishment—exile off the edge, with the rest of the trash. Down on the surface, the cast-off waste of humanity has bred vicious monsters, and to travel the path to vengeance against those who cast him into Hell, a boy will have to become a warrior…  ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178025-cWJKEsZynkil.jpg,https://anilist.co/anime/204436,Combined 2 TV seasons,9.5,Yes,,,,,,,
To your eternity,To Your Eternity,62,7.8,"Adventure, Drama, Fantasy, Psychological, Supernatural","Shapeshifting, Urban Fantasy, War, Tragedy, Coming of Age, Time Skip, Urban, Travel, Philosophy, Ensemble Cast, Cult, Ghost",Finished,Manga,2021-04-12,2026-03-29,25,"Brain's Base, Drive, Studio Massket",312532,"In the beginning, an ""orb"" is cast unto Earth. ""It"" can do two things: change into the form of the thing that stimulates ""it""; and come back to life after death. ""It"" morphs from orb to rock, then to wolf, and finally to boy, but roams about like a newborn who knows nothing. As a boy, ""it"" becomes Fushi. Through encounters with human kindness, Fushi not only gains survival skills but grows as a ""person"". But his journey is darkened by the inexplicable and destructive enemy Nokker and cruel partings with the people he loves. (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx114535-y3NnjexcqKG1.jpg,https://anilist.co/anime/114535,Combined 3 TV seasons,9.5,Yes,,,,,,,
Kaiju No.8,Kaiju No. 8,23,8,"Action, Sci-Fi","Kaiju, Urban, Monster Boy, Shapeshifting, Male Protagonist, Shounen, Super Power, Military, Henshin, Urban Fantasy, Rescue, Primarily Adult Cast",Finished,Manga,2024-04-13,2025-09-27,24,Production I.G,274801,"With the highest kaiju-emergence rates in the world, Japan is no stranger to attack by deadly monsters. Enter the Japan Defense Force, a military organization tasked with the neutralization of kaiju. Kafka Hibino, a kaiju-corpse cleanup man, has always dreamed of joining the force. But when he gets another shot at achieving his childhood dream, he undergoes an unexpected transformation. How can he fight kaiju now that he’s become one himself?! (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153288-25FBfFJzEQ5O.jpg,https://anilist.co/anime/153288,Combined 2 TV seasons,9.4,Yes,,,,,,,
Vinland saga ,Vinland Saga,48,8.8,"Action, Adventure, Drama","Vikings, Seinen, Foreign, Revenge, War, Male Protagonist, Historical, Philosophy, Coming of Age, Medieval, Primarily Male Cast, Primarily Adult Cast",Finished,Manga,2019-07-08,2023-06-20,25,"WIT STUDIO, MAPPA",534040,"Thorfinn is son to one of the Vikings' greatest warriors, but when his father is killed in battle by the mercenary leader Askeladd, he swears to have his revenge. Thorfinn joins Askeladd's band in order to challenge him to a duel, and ends up caught in the middle of a war for the crown of England. (Source: Kodansha USA)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101348-2fhDFPCuMNiz.jpg,https://anilist.co/anime/101348,Combined 2 TV seasons,9.4,Yes,,,,,,,
Fire Force,Fire Force,73,7.8,"Action, Drama, Sci-Fi, Supernatural","Urban Fantasy, Post-Apocalyptic, Firefighters, Cult, Dystopian, Super Power, Shounen, Male Protagonist, Demons, Urban, Gods, Ensemble Cast",Finished,Manga,2019-07-06,2026-04-04,24,david production,475556,"Year 198 of the Solar Era in Tokyo, special fire brigades are fighting against a phenomenon called spontaneous human combustion where human beings are turned into living infernos called ""Infernals.” While the Infernals are first-generation cases of spontaneous human combustion, later generations possess the ability to manipulate flames while retaining human form. Shinra Kusakabe, a youth who gained the nickname Devil’s Footprints for his ability to ignite his feet at will, joins the Special Fire Force Company 8 which composes of other flames users as they work to extinguish any Infernals they encounter. As a faction that is creating Infernals appears, Shinra begins to uncover the truth behind a mysterious fire that caused the death of his family twelve years ago. (Source: Official Website)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx105310-2PKUvoaA6fTn.jpg,https://anilist.co/anime/105310,Combined 4 TV seasons,9.4,Yes,,,,,,,
Blood of zeus ,Blood of zeus,24,7.5,"Action, Fantasy","Greek Mythology, Gods, Demons",Finished,Original,2020-10-27,2024-05-10,30,Powerhouse Animation Studios,102000,"Heron, a commoner living in ancient Greece, discovers his true heritage as the son of Zeus and becomes humanity's greatest hope against a demonic army.",https://upload.wikimedia.org/wikipedia/en/1/1c/Gods_and_Heroes_teaser_poster.png,https://www.imdb.com/title/tt10009170/?ref_=tt_ov_srs,Manual,9.4,Yes,,,,,,,
Shangrila frontier [anilist:176508],Shangri-La Frontier Season 2,50,8.1,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Virtual World, Video Games, Shounen, Male Protagonist, Swordplay, Anthropomorphism",Not Yet Released,Manga,2023-10-01,,25,C2C,181529,"The second season of Shangri-La Frontier . Rakuro Hizutome only cares about one thing: beating crappy VR games. He devotes his entire life to these buggy games and could clear them all in his sleep. One day, he decides to challenge himself and play a popular god-tier game called Shangri-La Frontier. But he quickly learns just how difficult it is. Will his expert skills be enough to uncover its hidden secrets? (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx176508-eFad4szofm8d.png,https://anilist.co/anime/176508,Forced AniList ID 176508; combined 3 TV seasons,9.3,Yes,,,,,,,
Black clover,Black Clover,170,7.9,"Action, Adventure, Comedy, Fantasy","Magic, Shounen, Male Protagonist, Found Family, Demons, Super Power, Ensemble Cast, Medieval, Orphan, Estranged Family, Politics, Love Triangle",Not Yet Released,Manga,2017-10-03,2021-03-30,24,Studio Pierrot,571469,"In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, Asta is the only one in this world without any. At the age of fifteen, both receive grimoires, magic books that amplify their holder’s magic. Asta’s is a rare Grimoire of Anti-Magic that negates and repels his opponent’s spells. Being opposite but good rivals, Yuno and Asta are ready for the hardest of challenges to achieve their common dream: to be the Wizard King. Giving up is never an option! (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx97940-fyh8o7gNbha0.png,https://anilist.co/anime/97940,Combined 2 TV seasons,9.3,Yes,,,,,,,
